Gnucap 2009.12.07 RCS 26.136
The Gnu Circuit Analysis Package
Never trust any version less than 1.0
Copyright 1982-2009, Albert Davis
Gnucap comes with ABSOLUTELY NO WARRANTY
This is free software, and you are welcome
to redistribute it under the terms of 
the GNU General Public License, version 3 or later.
See the file "COPYING" for details.
******************************************************************************** 
#Freq       VDB(R3)    VDB(2)     VP(R3)     VP(2)     
 528.53    -46.653    -12.667E-6  1.5665     341.28E-6 
 528.65    -46.651    -12.667E-6  1.5665     341.21E-6 
 528.77    -46.649    -12.666E-6  1.5665     341.13E-6 
 528.9     -46.647    -12.666E-6  1.5665     341.05E-6 
 529.02    -46.645    -12.666E-6  1.5665     340.97E-6 
 529.14    -46.643    -12.666E-6  1.5665     340.89E-6 
 529.26    -46.641    -12.665E-6  1.5665     340.81E-6 
 529.38    -46.639    -12.665E-6  1.5665     340.73E-6 
 529.5     -46.637    -12.665E-6  1.5665     340.66E-6 
 529.63    -46.635    -12.665E-6  1.5665     340.58E-6 
 529.75    -46.633    -12.664E-6  1.5665     340.5E-6  
 529.87    -46.631    -12.664E-6  1.5665     340.42E-6 
 529.99    -46.629    -12.664E-6  1.5665     340.34E-6 
 530.11    -46.627    -12.664E-6  1.5665     340.26E-6 
 530.24    -46.625    -12.664E-6  1.5665     340.19E-6 
 530.36    -46.623    -12.663E-6  1.5665     340.11E-6 
 530.48    -46.621    -12.663E-6  1.5665     340.03E-6 
 530.6     -46.619    -12.663E-6  1.5665     339.95E-6 
 530.73    -46.617    -12.663E-6  1.5665     339.87E-6 
 530.85    -46.615    -12.662E-6  1.5665     339.79E-6 
 530.97    -46.613    -12.662E-6  1.5665     339.72E-6 
 531.09    -46.611    -12.662E-6  1.5665     339.64E-6 
 531.21    -46.609    -12.662E-6  1.5665     339.56E-6 
 531.34    -46.607    -12.661E-6  1.5665     339.48E-6 
 531.46    -46.605    -12.661E-6  1.5665     339.4E-6  
 531.58    -46.603    -12.661E-6  1.5665     339.32E-6 
 531.7     -46.601    -12.661E-6  1.5665     339.25E-6 
 531.83    -46.599    -12.661E-6  1.5665     339.17E-6 
 531.95    -46.597    -12.66E-6   1.5665     339.09E-6 
 532.07    -46.595    -12.66E-6   1.5665     339.01E-6 
 532.19    -46.593    -12.66E-6   1.5665     338.93E-6 
 532.32    -46.591    -12.66E-6   1.5665     338.86E-6 
 532.44    -46.589    -12.659E-6  1.5665     338.78E-6 
 532.56    -46.587    -12.659E-6  1.5665     338.7E-6  
 532.68    -46.585    -12.659E-6  1.5664     338.62E-6 
 532.81    -46.583    -12.659E-6  1.5664     338.54E-6 
 532.93    -46.581    -12.658E-6  1.5664     338.47E-6 
 533.05    -46.579    -12.658E-6  1.5664     338.39E-6 
 533.18    -46.577    -12.658E-6  1.5664     338.31E-6 
 533.3     -46.575    -12.658E-6  1.5664     338.23E-6 
 533.42    -46.573    -12.658E-6  1.5664     338.15E-6 
 533.54    -46.571    -12.657E-6  1.5664     338.08E-6 
 533.67    -46.569    -12.657E-6  1.5664     338.E-6   
 533.79    -46.567    -12.657E-6  1.5664     337.92E-6 
 533.91    -46.565    -12.657E-6  1.5664     337.84E-6 
 534.04    -46.563    -12.656E-6  1.5664     337.77E-6 
 534.16    -46.561    -12.656E-6  1.5664     337.69E-6 
 534.28    -46.559    -12.656E-6  1.5664     337.61E-6 
 534.4     -46.557    -12.656E-6  1.5664     337.53E-6 
 534.53    -46.555    -12.656E-6  1.5664     337.45E-6 
 534.65    -46.553    -12.655E-6  1.5664     337.38E-6 
 534.77    -46.551    -12.655E-6  1.5664     337.3E-6  
 534.9     -46.549    -12.655E-6  1.5664     337.22E-6 
 535.02    -46.547    -12.655E-6  1.5664     337.14E-6 
 535.14    -46.545    -12.654E-6  1.5664     337.07E-6 
 535.27    -46.543    -12.654E-6  1.5664     336.99E-6 
 535.39    -46.541    -12.654E-6  1.5664     336.91E-6 
 535.51    -46.539    -12.654E-6  1.5664     336.83E-6 
 535.64    -46.537    -12.653E-6  1.5664     336.76E-6 
 535.76    -46.535    -12.653E-6  1.5664     336.68E-6 
 535.88    -46.533    -12.653E-6  1.5664     336.6E-6  
 536.01    -46.531    -12.653E-6  1.5664     336.52E-6 
 536.13    -46.529    -12.653E-6  1.5664     336.45E-6 
 536.25    -46.527    -12.652E-6  1.5664     336.37E-6 
 536.38    -46.525    -12.652E-6  1.5664     336.29E-6 
 536.5     -46.523    -12.652E-6  1.5664     336.21E-6 
 536.62    -46.521    -12.652E-6  1.5664     336.14E-6 
 536.75    -46.519    -12.651E-6  1.5664     336.06E-6 
 536.87    -46.517    -12.651E-6  1.5664     335.98E-6 
 536.99    -46.515    -12.651E-6  1.5664     335.9E-6  
 537.12    -46.513    -12.651E-6  1.5664     335.83E-6 
 537.24    -46.511    -12.651E-6  1.5664     335.75E-6 
 537.37    -46.509    -12.65E-6   1.5664     335.67E-6 
 537.49    -46.507    -12.65E-6   1.5664     335.6E-6  
 537.61    -46.505    -12.65E-6   1.5664     335.52E-6 
 537.74    -46.503    -12.65E-6   1.5664     335.44E-6 
 537.86    -46.501    -12.649E-6  1.5664     335.36E-6 
 537.98    -46.499    -12.649E-6  1.5664     335.29E-6 
 538.11    -46.497    -12.649E-6  1.5664     335.21E-6 
 538.23    -46.495    -12.649E-6  1.5664     335.13E-6 
 538.36    -46.493    -12.648E-6  1.5664     335.05E-6 
 538.48    -46.491    -12.648E-6  1.5664     334.98E-6 
 538.6     -46.489    -12.648E-6  1.5664     334.9E-6  
 538.73    -46.487    -12.648E-6  1.5664     334.82E-6 
 538.85    -46.485    -12.648E-6  1.5664     334.75E-6 
 538.98    -46.483    -12.647E-6  1.5664     334.67E-6 
 539.1     -46.481    -12.647E-6  1.5664     334.59E-6 
 539.22    -46.479    -12.647E-6  1.5664     334.52E-6 
 539.35    -46.477    -12.647E-6  1.5664     334.44E-6 
 539.47    -46.475    -12.646E-6  1.5664     334.36E-6 
 539.6     -46.473    -12.646E-6  1.5664     334.28E-6 
 539.72    -46.471    -12.646E-6  1.5664     334.21E-6 
 539.85    -46.469    -12.646E-6  1.5664     334.13E-6 
 539.97    -46.467    -12.646E-6  1.5664     334.05E-6 
 540.09    -46.465    -12.645E-6  1.5664     333.98E-6 
 540.22    -46.463    -12.645E-6  1.5664     333.9E-6  
 540.34    -46.461    -12.645E-6  1.5664     333.82E-6 
 540.47    -46.459    -12.645E-6  1.5664     333.75E-6 
 540.59    -46.457    -12.644E-6  1.5664     333.67E-6 
 540.72    -46.455    -12.644E-6  1.5664     333.59E-6 
 540.84    -46.453    -12.644E-6  1.5664     333.52E-6 
 540.97    -46.451    -12.644E-6  1.5664     333.44E-6 
 541.09    -46.449    -12.644E-6  1.5664     333.36E-6 
 541.22    -46.447    -12.643E-6  1.5664     333.29E-6 
 541.34    -46.445    -12.643E-6  1.5664     333.21E-6 
 541.46    -46.443    -12.643E-6  1.5664     333.13E-6 
 541.59    -46.441    -12.643E-6  1.5664     333.05E-6 
 541.71    -46.439    -12.642E-6  1.5664     332.98E-6 
 541.84    -46.437    -12.642E-6  1.5664     332.9E-6  
 541.96    -46.435    -12.642E-6  1.5664     332.82E-6 
 542.09    -46.433    -12.642E-6  1.5664     332.75E-6 
 542.21    -46.431    -12.642E-6  1.5664     332.67E-6 
 542.34    -46.429    -12.641E-6  1.5664     332.6E-6  
 542.46    -46.427    -12.641E-6  1.5664     332.52E-6 
 542.59    -46.425    -12.641E-6  1.5664     332.44E-6 
 542.71    -46.423    -12.641E-6  1.5664     332.37E-6 
 542.84    -46.421    -12.64E-6   1.5664     332.29E-6 
 542.96    -46.419    -12.64E-6   1.5664     332.21E-6 
 543.09    -46.417    -12.64E-6   1.5664     332.14E-6 
 543.21    -46.415    -12.64E-6   1.5664     332.06E-6 
 543.34    -46.413    -12.64E-6   1.5663     331.98E-6 
 543.46    -46.411    -12.639E-6  1.5663     331.91E-6 
 543.59    -46.409    -12.639E-6  1.5663     331.83E-6 
 543.71    -46.407    -12.639E-6  1.5663     331.75E-6 
 543.84    -46.405    -12.639E-6  1.5663     331.68E-6 
 543.96    -46.403    -12.638E-6  1.5663     331.6E-6  
 544.09    -46.401    -12.638E-6  1.5663     331.52E-6 
 544.21    -46.399    -12.638E-6  1.5663     331.45E-6 
 544.34    -46.397    -12.638E-6  1.5663     331.37E-6 
 544.47    -46.395    -12.638E-6  1.5663     331.3E-6  
 544.59    -46.393    -12.637E-6  1.5663     331.22E-6 
 544.72    -46.391    -12.637E-6  1.5663     331.14E-6 
 544.84    -46.389    -12.637E-6  1.5663     331.07E-6 
 544.97    -46.387    -12.637E-6  1.5663     330.99E-6 
 545.09    -46.385    -12.637E-6  1.5663     330.91E-6 
 545.22    -46.383    -12.636E-6  1.5663     330.84E-6 
 545.34    -46.381    -12.636E-6  1.5663     330.76E-6 
 545.47    -46.379    -12.636E-6  1.5663     330.69E-6 
 545.59    -46.377    -12.636E-6  1.5663     330.61E-6 
 545.72    -46.375    -12.635E-6  1.5663     330.53E-6 
 545.85    -46.373    -12.635E-6  1.5663     330.46E-6 
 545.97    -46.371    -12.635E-6  1.5663     330.38E-6 
 546.1     -46.369    -12.635E-6  1.5663     330.31E-6 
 546.22    -46.367    -12.635E-6  1.5663     330.23E-6 
 546.35    -46.365    -12.634E-6  1.5663     330.15E-6 
 546.47    -46.363    -12.634E-6  1.5663     330.08E-6 
 546.6     -46.361    -12.634E-6  1.5663     330.E-6   
 546.73    -46.359    -12.634E-6  1.5663     329.93E-6 
 546.85    -46.357    -12.633E-6  1.5663     329.85E-6 
 546.98    -46.355    -12.633E-6  1.5663     329.77E-6 
 547.1     -46.353    -12.633E-6  1.5663     329.7E-6  
 547.23    -46.351    -12.633E-6  1.5663     329.62E-6 
 547.36    -46.349    -12.633E-6  1.5663     329.55E-6 
 547.48    -46.347    -12.632E-6  1.5663     329.47E-6 
 547.61    -46.345    -12.632E-6  1.5663     329.39E-6 
 547.73    -46.343    -12.632E-6  1.5663     329.32E-6 
 547.86    -46.341    -12.632E-6  1.5663     329.24E-6 
 547.99    -46.339    -12.632E-6  1.5663     329.17E-6 
 548.11    -46.337    -12.631E-6  1.5663     329.09E-6 
 548.24    -46.335    -12.631E-6  1.5663     329.02E-6 
 548.37    -46.333    -12.631E-6  1.5663     328.94E-6 
 548.49    -46.331    -12.631E-6  1.5663     328.86E-6 
 548.62    -46.329    -12.63E-6   1.5663     328.79E-6 
 548.74    -46.327    -12.63E-6   1.5663     328.71E-6 
 548.87    -46.325    -12.63E-6   1.5663     328.64E-6 
 549.      -46.323    -12.63E-6   1.5663     328.56E-6 
 549.12    -46.321    -12.63E-6   1.5663     328.49E-6 
 549.25    -46.319    -12.629E-6  1.5663     328.41E-6 
 549.38    -46.317    -12.629E-6  1.5663     328.33E-6 
 549.5     -46.315    -12.629E-6  1.5663     328.26E-6 
 549.63    -46.313    -12.629E-6  1.5663     328.18E-6 
 549.76    -46.311    -12.628E-6  1.5663     328.11E-6 
 549.88    -46.309    -12.628E-6  1.5663     328.03E-6 
 550.01    -46.307    -12.628E-6  1.5663     327.96E-6 
 550.14    -46.305    -12.628E-6  1.5663     327.88E-6 
 550.26    -46.303    -12.628E-6  1.5663     327.81E-6 
 550.39    -46.301    -12.627E-6  1.5663     327.73E-6 
 550.52    -46.299    -12.627E-6  1.5663     327.65E-6 
 550.64    -46.297    -12.627E-6  1.5663     327.58E-6 
